epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,16531.7,1.1265,1.43716,1.2676,0.5704,0.48651,0.50986,0.33954,1.17346,1.49743,1.33097,0.00330462,0.00330462,0.00330462
139,16647,1.12928,1.42025,1.26634,0.53973,0.51107,0.51027,0.3394,1.17511,1.49635,1.33335,0.00329225,0.00329225,0.00329225
140,16761.5,1.14231,1.4305,1.27713,0.52868,0.51487,0.51,0.33951,1.17481,1.49631,1.33368,0.00327988,0.00327988,0.00327988
141,16876.4,1.1229,1.40567,1.26573,0.53707,0.50783,0.5097,0.33948,1.17615,1.49438,1.33522,0.0032675,0.0032675,0.0032675
142,16990.8,1.12497,1.39568,1.26706,0.53677,0.51827,0.51033,0.3394,1.17724,1.49665,1.33574,0.00325512,0.00325512,0.00325512
143,17105.3,1.10953,1.39348,1.26257,0.53343,0.5241,0.50949,0.33824,1.1775,1.49727,1.33569,0.00324275,0.00324275,0.00324275
144,17220.2,1.13577,1.40759,1.27351,0.53436,0.52518,0.51054,0.33804,1.1769,1.49599,1.33499,0.00323038,0.00323038,0.00323038
145,17335.1,1.11401,1.38867,1.26125,0.52808,0.53847,0.51021,0.33792,1.17663,1.4953,1.33478,0.003218,0.003218,0.003218
146,17449.4,1.11505,1.37386,1.25857,0.52376,0.53607,0.51071,0.33987,1.17473,1.49516,1.33333,0.00320562,0.00320562,0.00320562
147,17564.9,1.11274,1.37726,1.26132,0.51805,0.54555,0.51061,0.3394,1.17516,1.49555,1.33288,0.00319325,0.00319325,0.00319325
148,17679.4,1.10263,1.36549,1.2472,0.52396,0.54077,0.51032,0.3392,1.17607,1.49694,1.33337,0.00318088,0.00318088,0.00318088
149,17793.9,1.1089,1.3431,1.25971,0.52685,0.5484,0.51045,0.33818,1.17762,1.49855,1.33534,0.0031685,0.0031685,0.0031685
150,17908.3,1.09622,1.34457,1.24554,0.5277,0.54912,0.51208,0.33937,1.17889,1.49881,1.33627,0.00315612,0.00315612,0.00315612
151,18022.7,1.09623,1.34282,1.24892,0.52502,0.55208,0.51198,0.33891,1.1789,1.49936,1.3365,0.00314375,0.00314375,0.00314375
152,18137.1,1.10009,1.32804,1.24424,0.52583,0.55092,0.51245,0.33794,1.17764,1.49857,1.33562,0.00313138,0.00313138,0.00313138
153,18251.8,1.10161,1.34152,1.25032,0.52778,0.55245,0.51145,0.33879,1.17906,1.4983,1.33765,0.003119,0.003119,0.003119
154,18366.4,1.09977,1.31434,1.24621,0.5279,0.55439,0.51146,0.33944,1.17875,1.49971,1.33687,0.00310662,0.00310662,0.00310662
155,18480.9,1.09564,1.31549,1.24188,0.53278,0.55207,0.51181,0.3397,1.17946,1.50027,1.33773,0.00309425,0.00309425,0.00309425
156,18595.6,1.09872,1.34349,1.24249,0.53226,0.55175,0.51191,0.33928,1.18022,1.50124,1.338,0.00308187,0.00308187,0.00308187
